sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-476_rna_seq_GSM5691028_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.265805	-26.09124	5
GLDS-476_rna_seq_GSM5691029_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.075883	-26.273026	5
GLDS-476_rna_seq_GSM5691030_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.504994	-25.92214	5
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep1_Sample-131_Aligned.sortedByCoord.out	OSD-251	1	25.999596	-1.7730016	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep2_Sample-136_Aligned.sortedByCoord.out	OSD-251	1	26.27742	-1.6356412	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep3_Sample-139_Aligned.sortedByCoord.out	OSD-251	1	26.202055	-1.8688692	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep1_Sample-135_Aligned.sortedByCoord.out	OSD-251	1	25.865196	-1.8187524	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep2_Sample-151_Aligned.sortedByCoord.out	OSD-251	1	26.09967	-1.7853683	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep3_Sample-156_Aligned.sortedByCoord.out	OSD-251	1	26.036776	-2.0066562	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep1_Sample-154_Aligned.sortedByCoord.out	OSD-251	1	26.411625	-1.8847389	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep2_Sample-160_Aligned.sortedByCoord.out	OSD-251	1	26.24137	-1.8286755	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.36G_Rep3_Sample-211_Aligned.sortedByCoord.out	OSD-251	1	26.337423	-1.9186033	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep1_Sample-171_Aligned.sortedByCoord.out	OSD-251	1	26.198221	-1.9864498	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep2_Sample-176_Aligned.sortedByCoord.out	OSD-251	1	26.19027	-1.6191213	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep3_Sample-214_Aligned.sortedByCoord.out	OSD-251	1	25.982773	-1.7409683	3
GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.57G_Rep4_Sample-231_Aligned.sortedByCoord.out	OSD-251	1	26.050983	-1.5058408	3
